ts_code,trade_date,settle,trading_fee_rate,trading_fee,long_margin_rate,multiplier,buy_cost
AU2012.SHF,20200629,400.32,0.0,10.0,0.08,1000.0,32035.600000000002
CU2008.SHF,20200629,48350.0,0.05,0.0,0.1,5.0,24295.875
AL2008.SHF,20200629,13725.0,0.0,3.0,0.1,5.0,6865.5
RB2010.SHF,20200629,3569.0,0.1,0.0,0.09,10.0,3247.79
RU2009.SHF,20200629,10135.0,0.045,0.0,0.11,10.0,11194.1075
SP2009.SHF,20200629,4404.0,0.05,0.0,0.08,10.0,3545.2200000000003
ZN2008.SHF,20200629,16645.0,0.0,3.0,0.1,5.0,8325.5
PB2008.SHF,20200629,14640.0,0.04,0.0,0.1,5.0,7349.28
HC2010.SHF,20200629,3569.0,0.1,0.0,0.09,10.0,3247.79
FU2009.SHF,20200629,1649.0,0.05,0.0,0.15,10.0,2481.745
BU2012.SHF,20200629,2582.0,0.1,0.0,0.15,10.0,3898.82
